rank,school,conf,astcoach,schoolpay,otherpay,totalpay,maxbonus,stafftotal,category,complete,proportion
957,Georgia Southern,Sun Belt,Pat Bastien,50000.0,,50000.0,0.0,1010000.0,Others,yes,0.04950495049504951
958,Charlotte,C-USA,Johnson Richardson,50000.0,,50000.0,2500.0,954000.0,Others,yes,0.05241090146750524
959,Charlotte,C-USA,Aaron Curry,50000.0,,50000.0,2500.0,954000.0,Others,yes,0.05241090146750524
960,Southern Mississippi,C-USA,Shannon Dawson,50000.0,0.0,50000.0,4167.0,900500.0,Others,yes,0.0555247084952804
961,LSU,SEC,Dennis Johnson,45000.0,,45000.0,0.0,5781500.0,Power Five,yes,0.007783447202283145
962,Kent State,MAC,Colin Ferrell,42840.0,0.0,42840.0,0.0,733900.0,Others,yes,0.05837307535086524
963,Georgia State,Sun Belt,Rick Minter,30000.0,2000.0,32000.0,0.0,1049750.0,Others,yes,0.02857823291259824
964,Penn State,Big Ten,Joe Moorhead,,,,,,Power Five,yes,
965,Air Force,Mt. West,Jake Moreland,,,,,1618000.0,Others,yes,
966,Southern California,Pac-12,Johnny Nansen,,,,,,Power Five,yes,
967,Rice,C-USA,Darrell Patterson,,,,,,Others,yes,
968,Vanderbilt,SEC,Cameron Norcross,,,,,,Power Five,yes,
969,Tulsa,AAC,Brian Norwood,,,,,,Others,no,
970,Navy,AAC,Danny O'Rourke,,,,,,Others,yes,
971,Northwestern,Big Ten,Marty Long,,,,,,Power Five,yes,
972,Texas Christian,Big 12,Curtis Luper,,,,,,Power Five,yes,
973,Vanderbilt,SEC,Andy Ludwig,,,,,,Power Five,yes,
974,Southern Methodist,AAC,Van Malone,,,,,,Others,yes,
975,Northwestern,Big Ten,Matt MacPherson,,,,,,Power Five,yes,
976,Southern California,Pac-12,Tee Martin,,,,,,Power Five,yes,
977,Syracuse,ACC,Kim McCloud,,,,,,Power Five,yes,
978,Northwestern,Big Ten,Mick McCall,,,,,,Power Five,yes,
979,Penn State,Big Ten,Brent Pry,,,,,,Power Five,yes,
980,Penn State,Big Ten,Ricky Rahne,,,,,,Power Five,yes,
981,Southern California,Pac-12,Tommie Robinson,,,,,,Power Five,yes,
982,Pittsburgh,ACC,Andre Powell,,,,,,Power Five,yes,
983,Tulane,AAC,Kevin Peoples,,,,,,Others,yes,
984,Pittsburgh,ACC,John Peterson,,,,,,Power Five,yes,
985,Navy,AAC,Dale Pehrson,,,,,,Others,yes,
986,Pittsburgh,ACC,Tim Salem,,,,,,Power Five,yes,
987,Tulane,AAC,Doug Ruse,,,,,,Others,yes,
988,Wake Forest,ACC,Warren Ruggiero,,,,,,Power Five,yes,
989,Duke,ACC,Zac Roper,,,,,,Power Five,yes,
990,Texas Christian,Big 12,Dan Sharp,,,,,,Power Five,yes,
991,Pittsburgh,ACC,Kevin Sherman,,,,,,Power Five,yes,
992,Wake Forest,ACC,Adam Scheier,,,,,,Power Five,yes,
993,Miami (Fla.),ACC,Stacy Searels,,,,,,Power Five,yes,
994,Temple,AAC,Phil Snow,,,,,,Others,yes,
995,Miami (Fla.),ACC,Ron Dugans,,,,,,Power Five,yes,
996,Notre Dame,Ind.,Harry Hiestand,,,,,,Others,yes,
997,Navy,AAC,Napoleon Sykes,,,,,,Others,yes,
998,Notre Dame,Ind.,Mike Denbrock,,,,,,Others,yes,
999,Notre Dame,Ind.,Mike Sanford Jr.,,,,,,Others,yes,
1000,Temple,AAC,Frisman Jackson,,,,,,Others,yes,
1001,Wake Forest,ACC,Dave Cohen,,,,,,Power Five,yes,
1002,Boston College,ACC,Jim Reid,,,,,,Power Five,yes,
1003,Southern Methodist,AAC,Jess Loepp,,,,,,Others,yes,
1004,Wake Forest,ACC,Clark Lea,,,,,,Power Five,yes,
1005,Texas Christian,Big 12,Sonny Cumbie,,,,,,Power Five,yes,
1006,Southern Methodist,AAC,Buddy Wyatt,,,,,,Others,yes,
1007,Duke,ACC,Jim Knowles,,,,,,Power Five,yes,
1008,Southern California,Pac-12,Clancy Pendergast,,,,,,Power Five,yes,
1009,Syracuse,ACC,Nick Monroe,,,,,,Power Five,yes,
1010,Boston College,ACC,Paul Pasqualoni,,,,,,Power Five,yes,
1011,Tulsa,AAC,Bill Young,,,,,,Others,no,
1012,Brigham Young,Ind.,Ilaisa Tuiaki,,,,,,Others,yes,
1013,Rice,C-USA,Ronnie Vinklarek,,,,,,Others,yes,
1014,Boston College,ACC,Brian White,,,,,,Power Five,yes,
1015,Air Force,Mt. West,Matt Weikert,,,,,1618000.0,Others,yes,
1016,Hawaii,Mt. West,Brian Smith,,,,,,Others,yes,
1017,Pittsburgh,ACC,Tom Sims,,,,,,Power Five,yes,
1018,Temple,AAC,Mike Siravo,,,,,,Others,yes,
1019,Penn State,Big Ten,Sean Spencer,,,,,,Power Five,yes,
1020,Northwestern,Big Ten,Dennis Springer,,,,,,Power Five,yes,
1021,Rice,C-USA,Chris Thurmond,,,,,,Others,yes,
1022,Notre Dame,Ind.,Scott Booker,,,,,,Others,yes,
1023,Southern California,Pac-12,John Baxter,,,,,,Power Five,yes,
1024,Northwestern,Big Ten,Randy Bates,,,,,,Power Five,yes,
1025,Penn State,Big Ten,Tim Banks,,,,,,Power Five,yes,
1026,Southern California,Pac-12,Neil Callaway,,,,,,Power Five,yes,
1027,Texas Christian,Big 12,Jarrett Anderson,,,,,,Power Five,yes,
1028,Stanford,Pac-12,Lance Anderson,,,,,,Power Five,yes,
1029,Vanderbilt,SEC,Jeff Genyk,,,,,,Power Five,yes,
1030,Stanford,Pac-12,Duane Akina,,,,,,Power Five,yes,
1031,Stanford,Pac-12,Pete Alamar,,,,,,Power Five,yes,
1032,Baylor,Big 12,Chris Achuff,,,,,,Power Five,no,
