rank,school,conf,astcoach,schoolpay,totalpay,maxbonus,stafftotal,buyout,category,complete,proportion
909,New Mexico State,Sun Belt,Chase Holbrook,73435.0,73435.0,0.0,702501.0,nan,Others,yes,0.1045336590268199
910,New Mexico State,Sun Belt,Cory Martin,73435.0,73435.0,0.0,702501.0,nan,Others,yes,0.1045336590268199
911,Texas-San Antonio,C-USA,Patrick Toney,73000.0,73000.0,20000.0,1147750.0,nan,Others,yes,0.06360270093661512
912,Alabama at Birmingham,C-USA,Larry Smith,72750.0,72750.0,6063.0,989750.0,nan,Others,yes,0.07350340995200809
913,Troy,Sun Belt,Jordan Lesley,72500.0,72500.0,9063.0,1233300.0,nan,Others,yes,0.05878537257763723
914,Georgia Southern,Sun Belt,Olten Downs,72500.0,72500.0,16000.0,1007500.0,nan,Others,yes,0.07196029776674938
915,New Mexico State,Sun Belt,Matt Christian,71631.0,71631.0,0.0,702501.0,nan,Others,yes,0.10196569115204107
916,Akron,MAC,Trent Boykin,71400.0,71400.0,18567.0,919220.0,nan,Others,yes,0.07767455016209394
917,Kent State,MAC,Mark Spencer,71400.0,71400.0,0.0,711904.0,nan,Others,yes,0.10029442171978244
918,Charlotte,C-USA,Damien Gary,71050.0,71050.0,3553.0,1008500.0,nan,Others,yes,0.07045116509667823
919,Idaho,Sun Belt,Luther Elliss,70637.0,70637.0,0.0,789402.0,nan,Others,yes,0.08948165826790407
920,Southern Mississippi,C-USA,Derek NIcholson,70000.0,70000.0,5833.0,820000.0,nan,Others,yes,0.08536585365853659
921,Southern Mississippi,C-USA,Erik Losey,70000.0,70000.0,5833.0,820000.0,nan,Others,yes,0.08536585365853659
922,Texas-El Paso,C-USA,Derrius Bell,70000.0,70000.0,28333.0,1199860.0,nan,Others,yes,0.05834013968296301
923,Georgia Southern,Sun Belt,Chris Foster,70000.0,70000.0,16000.0,1007500.0,nan,Others,yes,0.06947890818858561
924,Arkansas State,Sun Belt,Kyle Cefalo,70000.0,70000.0,0.0,1241100.0,nan,Others,yes,0.05640157924421884
925,Florida Atlantic,C-USA,Eric Mathies,70000.0,70000.0,2500.0,1260000.0,nan,Others,yes,0.05555555555555555
926,Kent State,MAC,Jeff Burrow,69891.0,69891.0,0.0,711904.0,nan,Others,yes,0.09817475389940217
927,Idaho,Sun Belt,Troy Purcell,69014.0,69014.0,0.0,789402.0,nan,Others,yes,0.08742567158431319
928,Kent State,MAC,Doc Gamble,68912.0,68912.0,0.0,711904.0,nan,Others,yes,0.09679956848114353
929,Massachusetts,Ind.,Darrius Smith,65312.0,67307.0,8943.0,897089.0,nan,Others,yes,0.07280437058084538
930,Idaho,Sun Belt,Eric Brown,65645.0,65645.0,0.0,789402.0,nan,Others,yes,0.08315788406920682
931,Western Kentucky,C-USA,Geoff Dartt,65004.0,65004.0,0.0,1200012.0,nan,Others,yes,0.054169458305416945
932,Coastal Carolina,Sun Belt,Willy Korn,65000.0,65000.0,0.0,970000.0,nan,Others,yes,0.06701030927835051
933,Akron,MAC,Eric Hickson,65000.0,65000.0,17500.0,919220.0,nan,Others,yes,0.07071212549770457
934,Akron,MAC,Brett Ekkens,65000.0,65000.0,17501.0,919220.0,nan,Others,yes,0.07071212549770457
935,Coastal Carolina,Sun Belt,Ryan Goodman,64000.0,64000.0,0.0,970000.0,nan,Others,yes,0.06597938144329897
936,Massachusetts,Ind.,Jason Palermo,61050.0,61050.0,8588.0,897089.0,nan,Others,yes,0.068053448431538
937,Charlotte,C-USA,Johnson Richardson,60250.0,60250.0,3013.0,1008500.0,nan,Others,yes,0.059742191373326724
938,Charlotte,C-USA,Charlie Skalaski,60250.0,60250.0,3013.0,1008500.0,nan,Others,yes,0.059742191373326724
939,Kent State,MAC,Colin Ferrell,60000.0,60000.0,0.0,711904.0,nan,Others,yes,0.08428102665527937
