rank,school,conf,astcoach,schoolpay,otherpay,totalpay,maxbonus,stafftotal,category,complete,proportion
483,Purdue,Big Ten,Rubin Carter,200000.0,,200000.0,165000.0,2245000.0,Power Five,yes,0.08908685968819599
484,Kentucky,SEC,Andy Buh,200000.0,,200000.0,33333.0,3007200.0,Power Five,yes,0.06650704974727321
485,Texas Tech,Big 12,Zac Spavital,200000.0,,200000.0,50000.0,2336600.0,Power Five,yes,0.08559445347941454
486,Colorado,Pac-12,Joe Tumpkin,200000.0,0.0,200000.0,38462.0,2748052.0,Power Five,yes,0.07277882660153447
487,Mississippi State,SEC,Scott Sallach,200000.0,0.0,200000.0,0.0,3287500.0,Power Five,yes,0.060836501901140684
488,Akron,MAC,Chuck Amato,199920.0,0.0,199920.0,38876.0,934220.0,Others,yes,0.21399670313202457
489,Arizona,Pac-12,Charlie Ragle,195000.0,3900.0,198900.0,16250.0,3036400.0,Power Five,yes,0.06422078777499671
490,Indiana,Big Ten,Noah Joseph,198676.0,,198676.0,62777.0,2317478.0,Power Five,yes,0.0857294006674497
491,Indiana,Big Ten,James Patton,198676.0,,198676.0,62777.0,2317478.0,Power Five,yes,0.0857294006674497
492,Air Force,Mt. West,Mike Thiessen,197000.0,0.0,197000.0,59100.0,1518000.0,Others,yes,0.1297760210803689
493,Connecticut,AAC,Wayne Lineburg,196755.0,,196755.0,30264.0,1943130.0,Others,yes,0.10125673526732643
494,Connecticut,AAC,Kevin Wolthausen,196755.0,,196755.0,30264.0,1943130.0,Others,yes,0.10125673526732643
495,Iowa State,Big 12,Louis Ayeni,191900.0,4250.0,196150.0,15928.0,2177635.0,Power Five,yes,0.08812312439871696
496,Iowa State,Big 12,Maurice Linguist,191900.0,4000.0,195900.0,15928.0,2177635.0,Power Five,yes,0.08812312439871696
497,California,Pac-12,Fred Tate,189000.0,3000.0,192000.0,50000.0,2506600.0,Power Five,yes,0.07540094151440198
498,California,Pac-12,Greg Burns,189000.0,3000.0,192000.0,50000.0,2506600.0,Power Five,yes,0.07540094151440198
499,Washington,Pac-12,Jordan Paopao,190000.0,1500.0,191500.0,70000.0,3278524.0,Power Five,yes,0.0579529080769273
500,Washington State,Pac-12,Eric Mele,191500.0,0.0,191500.0,23938.0,2323500.0,Power Five,yes,0.08241876479449108
501,Arizona,Pac-12,Matt Caponi,185000.0,6400.0,191400.0,15416.0,3036400.0,Power Five,yes,0.06092741404294559
502,North Texas,C-USA,Mike Canales,190000.0,1100.0,191100.0,15833.0,1158150.0,Others,yes,0.16405474247722662
503,Old Dominion,C-USA,Brian Scott,187272.0,3500.0,190772.0,0.0,1062738.0,Others,yes,0.17621652749784047
504,Boise State,Mt. West,Junior Adams,190016.0,0.0,190016.0,16251.0,2129132.0,Others,yes,0.08924575836538082
505,East Carolina,AAC,Brad Davis,190000.0,0.0,190000.0,0.0,1704800.0,Others,yes,0.11145002346316284
506,South Florida,AAC,Ron Dugans,190000.0,0.0,190000.0,0.0,1739700.0,Others,yes,0.109214232338909
507,Troy,Sun Belt,Jon Sumrall,190000.0,,190000.0,23750.0,1198233.0,Others,yes,0.15856682298017163
508,Georgia Tech,ACC,Ray Rychleski,188350.0,0.0,188350.0,15629.0,2504665.0,Power Five,yes,0.07519967740196792
509,Kansas State,Big 12,Blake Seiler,185000.0,3325.0,188325.0,79200.0,3023325.0,Power Five,yes,0.06119090736192768
510,East Carolina,AAC,Kirk Doll,186000.0,1500.0,187500.0,0.0,1704800.0,Others,yes,0.10910370717972782
