rank,school,conf,headcoach,schoolpay,totalpay,maxbonus,bonusespaid,stafftotal,buyout,category,complete,proportion
107,Texas-El Paso,C-USA,Sean Kugler,515332.0,515332.0,493776.0,24611.0,1199860.0,nan,Others,yes,0.4294934409014385
108,Southern Mississippi,C-USA,Jay Hopson,500000.0,500000.0,867500.0,15000.0,820000.0,1041667,Others,yes,0.6097560975609756
109,Massachusetts,Ind.,Mark Whipple,472654.0,472904.0,255000.0,0.0,897089.0,304903,Others,yes,0.5268752598683074
110,Nevada,Mt. West,Jay Norvell,450000.0,450000.0,210000.0,,1524605.0,1000000,Others,yes,0.2951584180820606
111,Idaho,Sun Belt,Paul Petrino,446214.0,446214.0,225000.0,70000.0,789402.0,1314160,Others,yes,0.56525572521985
112,Eastern Michigan,MAC,Chris Creighton,442420.0,442420.0,395000.0,35000.0,904264.0,950000,Others,yes,0.4892597736944078
113,Ball State,MAC,Mike Neu,431375.0,436375.0,370000.0,0.0,961125.0,1401969,Others,yes,0.44882299388737157
114,Bowling Green,MAC,Mike Jinks,428655.0,428655.0,245000.0,25000.0,850784.0,1285965,Others,yes,0.5038352860420506
115,Kent State,MAC,Paul Haynes,414030.0,414030.0,173000.0,1000.0,711904.0,168600,Others,yes,0.5815812244347552
116,Akron,MAC,Terry Bowden,411000.0,412500.0,225000.0,5000.0,919220.0,994500,Others,yes,0.4471182089162551
117,Buffalo,MAC,Lance Leipold,405500.0,405500.0,380000.0,0.0,909040.0,787792,Others,yes,0.44607498019889114
118,Hawaii,Mt. West,Nick Rolovich,400008.0,402102.0,1260000.0,60000.0,,725004,Others,yes,
119,Coastal Carolina,Sun Belt,Joe Moglia,400000.0,400000.0,525000.0,,970000.0,725003,Others,yes,0.41237113402061853
120,Louisiana-Monroe,Sun Belt,Matt Viator,390000.0,390000.0,50000.0,0.0,900000.0,204167,Others,yes,0.43333333333333335
121,New Mexico State,Sun Belt,Doug Martin,376044.0,376044.0,135000.0,0.0,702501.0,30337,Others,yes,0.5352931881947499
122,Syracuse,ACC,Dino Babers,,,,,,nan,Power Five,yes,
123,Air Force,Mt. West,Troy Calhoun,,,,,,nan,Others,yes,
124,Temple,AAC,Geoff Collins,,,,,,nan,Others,yes,
125,Tulane,AAC,Willie Fritz,,,,,,nan,Others,yes,
126,Army,Ind.,Jeff Monken,,,,,,nan,Others,yes,
127,Brigham Young,Ind.,Kalani Sitake,,,,,,nan,Others,yes,
128,Southern California,Pac-12,Clay Helton,,,,,,nan,Power Five,yes,
129,Baylor,Big 12,Matt Rhule,,,,,,nan,Power Five,no,
130,Miami (Fla.),ACC,Mark Richt,,,,,,nan,Power Five,yes,
