rank,school,conf,headcoach,schoolpay,otherpay,totalpay,maxbonus,bonusespaid,stafftotal,category
69,South Florida,AAC,Willie Taggart,1150000.0,2500.0,1152500.0,650000.0,0.0,1739700.0,Others
70,Boise State,Mt. West,Bryan Harsin,1100004.0,0.0,1100004.0,400000.0,182875.0,2129132.0,Others
71,Louisiana-Lafayette,Sun Belt,Mark Hudspeth,1050000.0,3156.0,1053156.0,155000.0,45000.0,1040000.0,Others
72,Tulane,AAC,Curtis Johnson,926000.0,,926000.0,,,,Others
73,Air Force,Mt. West,Troy Calhoun,892500.0,26500.0,919000.0,255000.0,123750.0,1518000.0,Others
74,Illinois,Big Ten,Bill Cubit,915000.0,1010.0,916010.0,51500.0,,2011208.0,Power Five
75,Army,Ind.,Jeff Monken,883000.0,,883000.0,256000.0,0.0,2220450.0,Others
76,Wyoming,Mt. West,Craig Bohl,882000.0,0.0,882000.0,330000.0,120000.0,1224315.0,Others
77,Middle Tennessee,C-USA,Rick Stockstill,801504.0,10500.0,812004.0,126142.0,5000.0,1166061.0,Others
78,San Diego State,Mt. West,Rocky Long,806300.0,2000.0,808300.0,655000.0,65000.0,1530932.0,Others
79,Rice,C-USA,David Bailiff,805088.0,,805088.0,,,,Others
80,Western Michigan,MAC,P.J. Fleck,800000.0,2500.0,802500.0,336000.0,78750.0,1037500.0,Others
81,Kansas,Big 12,David Beaty,801169.0,,801169.0,925000.0,,2279999.0,Power Five
82,New Mexico,Mt. West,Bob Davie,772690.0,1250.0,773940.0,490000.0,0.0,1363070.0,Others
83,Marshall,C-USA,Doc Holliday,755500.0,2750.0,758250.0,145000.0,95000.0,1141476.0,Others
84,Utah State,Mt. West,Matt Wells,750000.0,2900.0,752900.0,770000.0,65000.0,1162973.0,Others
85,North Texas,C-USA,Dan McCarney,720000.0,1600.0,721600.0,945000.0,0.0,1158150.0,Others
86,Arkansas State,Sun Belt,Blake Anderson,700000.0,0.0,700000.0,235000.0,25000.0,1183000.0,Others
87,Southern Mississippi,C-USA,Todd Monken,700000.0,0.0,700000.0,125000.0,15000.0,1055000.0,Others
88,Troy,Sun Belt,Neal Brown,660000.0,,660000.0,475000.0,,1198233.0,Others
89,Temple,AAC,Matt Rhule,648633.0,,648633.0,,,,Others
90,Hawaii,Mt. West,Norm Chow,550000.0,87750.0,637750.0,1180000.0,0.0,,Others
91,Western Kentucky,C-USA,Jeff Brohm,610800.0,3120.0,613920.0,450000.0,100000.0,1054792.0,Others
92,Florida International,C-USA,Ron Turner,604190.0,1000.0,605190.0,150000.0,0.0,1077200.0,Others
93,Charlotte,C-USA,Brad Lambert,600000.0,,600000.0,120000.0,,647025.0,Others
94,Nevada,Mt. West,Brian Polian,575000.0,3000.0,578000.0,250000.0,55000.0,1249500.0,Others
95,Old Dominion,C-USA,Bobby Wilder,550000.0,15000.0,565000.0,504125.0,0.0,1062738.0,Others
