rank,school,conf,headcoach,schoolpay,otherpay,totalpay,maxbonus,bonusespaid,stafftotal,category
1.0,Michigan,Big Ten,Jim Harbaugh,9004000.0,,9004000.0,1325000.0,0.0,4308750.0,Power Five
2.0,Alabama,SEC,Nick Saban,6939395.0,,6939395.0,700000.0,625000.0,5320000.0,Power Five
3.0,Ohio State,Big Ten,Urban Meyer,6003000.0,91800.0,6094800.0,775000.0,250000.0,4583100.0,Power Five
4.0,Oklahoma,Big 12,Bob Stoops,5550000.0,0.0,5550000.0,834000.0,333000.0,4390900.0,Power Five
5.0,Florida State,ACC,Jimbo Fisher,5250000.0,,5250000.0,1475000.0,100000.0,4586000.0,Power Five
6.0,Texas,Big 12,Charlie Strong,5200000.0,130.0,5200130.0,1006000.0,0.0,4546250.0,Power Five
7.0,Texas A&M,SEC,Kevin Sumlin,5000000.0,,5000000.0,1350000.0,50000.0,4811000.0,Power Five
8.0,Auburn,SEC,Gus Malzahn,4725000.0,4500.0,4729500.0,1400000.0,125000.0,4456250.0,Power Five
9.0,Mississippi,SEC,Hugh Freeze,4700000.0,3500.0,4703500.0,1225000.0,300000.0,4261700.0,Power Five
10.0,Iowa,Big Ten,Kirk Ferentz,4500000.0,0.0,4500000.0,2875000.0,900000.0,3610000.0,Power Five
11.0,Penn State,Big Ten,James Franklin,4500000.0,,4500000.0,1000000.0,200000.0,,Power Five
12.0,Clemson,ACC,Dabo Swinney,4417500.0,5200.0,4422700.0,1725000.0,1100000.0,5390417.0,Power Five
13.0,LSU,SEC,Les Miles,4300000.0,85567.0,4385567.0,700000.0,100000.0,5781500.0,Power Five
14.0,Michigan State,Big Ten,Mark Dantonio,4300000.0,0.0,4300000.0,650000.0,475000.0,3445098.0,Power Five
15.0,Florida,SEC,Jim McElwain,4268325.0,0.0,4268325.0,450000.0,100000.0,4530709.0,Power Five
16.0,Mississippi State,SEC,Dan Mullen,4200000.0,0.0,4200000.0,900000.0,200000.0,3295000.0,Power Five
17.0,Arkansas,SEC,Bret Bielema,4100000.0,45000.0,4145000.0,1000000.0,100000.0,3893100.0,Power Five
18.0,Tennessee,SEC,Butch Jones,4110000.0,,4110000.0,1000000.0,350000.0,4545700.0,Power Five
19.0,Stanford,Pac-12,David Shaw,4067219.0,,4067219.0,,,,Power Five
20.0,Texas Christian,Big 12,Gary Patterson,4014723.0,,4014723.0,,,,Power Five
21.0,Louisville,ACC,Bobby Petrino,3880434.0,30000.0,3910434.0,1464583.0,794667.0,3839500.0,Power Five
22.0,Oklahoma State,Big 12,Mike Gundy,3775000.0,,3775000.0,550000.0,100000.0,3283999.0,Power Five
23.0,Georgia,SEC,Kirby Smart,3753600.0,,3753600.0,1800000.0,,4675000.0,Power Five
24.0,Utah,Pac-12,Kyle Whittingham,3650000.0,,3650000.0,935000.0,334167.0,2900000.0,Power Five
25.0,Washington,Pac-12,Chris Petersen,3600000.0,5847.0,3605847.0,1175000.0,150000.0,3553578.0,Power Five
26.0,Kentucky,SEC,Mark Stoops,3500000.0,13600.0,3513600.0,2800000.0,50000.0,3403900.0,Power Five
27.0,UCLA,Pac-12,Jim Mora,3450000.0,0.0,3450000.0,1065000.0,120000.0,3955000.0,Power Five
