rank,school,conf,headcoach,schoolpay,otherpay,totalpay,maxbonus,stafftotal,category
94,San Jose State,Mt. West,Ron Caragher,525000.0,0.0,525000.0,195000.0,1073992.0,Others
95,Troy,Sun Belt,Larry Blakeney,518788.0,0.0,518788.0,77500.0,908985.0,Others
96,Louisiana Tech,CUSA,Skip Holtz,500000.0,10000.0,510000.0,295000.0,999700.0,Others
97,Georgia State,Sun Belt,Trent Miles,510000.0,,510000.0,381500.0,922800.0,Others
98,Texas-El Paso,CUSA,Sean Kugler,503864.0,4500.0,508364.0,478481.0,1167375.0,Others
99,Ball State,MAC,Pete Lembo,500000.0,3500.0,503500.0,450000.0,883900.0,Others
100,Florida Atlantic,CUSA,Charlie Partridge,500000.0,,500000.0,100000.0,820600.0,Others
101,Alabama at Birmingham,CUSA,Bill Clark,500000.0,,500000.0,430000.0,1011000.0,Others
102,Old Dominion,CUSA,Bobby Wilder,475000.0,11010.0,486010.0,503333.0,919640.0,Others
103,Toledo,MAC,Matt Campbell,470500.0,12037.0,482537.0,450000.0,848210.0,Others
104,South Alabama,Sun Belt,Joey Jones,435000.0,36000.0,471000.0,171000.0,873230.0,Others
105,Miami (Ohio),MAC,Chuck Martin,450000.0,,450000.0,462243.0,810000.0,Others
106,Massachusetts,MAC,Mark Whipple,450000.0,,450000.0,200000.0,829933.0,Others
107,Eastern Michigan,MAC,Chris Creighton,425000.0,,425000.0,310000.0,825000.0,Others
108,Akron,MAC,Terry Bowden,406000.0,,406000.0,255000.0,910520.0,Others
109,Bowling Green,MAC,Dino Babers,405000.0,0.0,405000.0,130000.0,815000.0,Others
110,Texas-San Antonio,CUSA,Larry Coker,400000.0,2150.0,402150.0,230000.0,786175.0,Others
111,Northern Illinois,MAC,Rod Carey,400000.0,1500.0,401500.0,205000.0,915018.0,Others
112,Texas State,Sun Belt,Dennis Franchione,400000.0,1200.0,401200.0,232500.0,807988.0,Others
113,Idaho,Sun Belt,Paul Petrino,400011.0,0.0,400011.0,152000.0,699088.0,Others
114,Georgia Southern,Sun Belt,Willie Fritz,400000.0,,400000.0,42500.0,786500.0,Others
115,Western Michigan,MAC,P.J. Fleck,392500.0,,392500.0,236000.0,804500.0,Others
116,Kent State,MAC,Paul Haynes,382500.0,1200.0,383700.0,336000.0,707345.0,Others
117,Buffalo,MAC,Jeff Quinn,380210.0,0.0,380210.0,470000.0,841896.0,Others
118,New Mexico State,Sun Belt,Doug Martin,376044.0,1000.0,377044.0,185000.0,757090.0,Others
119,Central Michigan,MAC,Dan Enos,360000.0,0.0,360000.0,305000.0,818015.0,Others
120,Louisiana-Monroe,Sun Belt,Todd Berry,357000.0,1250.0,358250.0,47500.0,724300.0,Others
121,Appalachian State,Sun Belt,Scott Satterfield,225000.0,,225000.0,25000.0,823000.0,Others
122,Temple,AAC,Matt Rhule,,,,,,Others
123,Syracuse,ACC,Scott Shafer,,,,,,Power Five
124,Vanderbilt,SEC,Derek Mason,,,,,,Power Five
125,Boston College,ACC,Steve Addazio,,,,,,Power Five
126,Southern California,PAC-12,Steve Sarkisian,,,,,,Others
127,Brigham Young,Ind.,Bronco Mendenhall,,,,,,Others
128,Wake Forest,ACC,Dave Clawson,,,,,,Power Five
